,Unnamed: 0,date,location,text
38,38,07-07-2020 21:39,India,"RT @RiseofYSJagan: Looking at all the analysis TDP twitter is doing, I think someone from their Hyderabad office might  invent vaccine for…"
39,39,07-07-2020 21:38,India,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
40,40,07-07-2020 21:37,"New Delhi, India",The US Centers for Disease Control rates eating out at a restaurant a ‘medium-to-high risk’ activity so possibly it… https://t.co/HlKjQKz3PF
41,41,07-07-2020 21:26,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
43,43,07-07-2020 21:20,"Gulbarga, India","RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
44,44,07-07-2020 21:17,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
45,45,07-07-2020 21:14,India,"RT @mi_jim: #Fintech executive says #COVID-19 has been the “shot in the arm” that contactless payments needed, now it’s unsafe to use paper…"
46,46,07-07-2020 21:12,"Hyderabad, India","RT @SueScheff: #MondayMotivation Helping kids (early) to have a healthy relationship with #onlinesafety &amp; the internet, esp with so much #o…"
47,47,07-07-2020 21:10,Uttrakhand India ,RT @UNEP_FI: Signatories to @UNEP_FI ’s Principles for #ResponsibleBanking share responses to #COVID-19 as they support their customers and…
48,48,07-07-2020 21:09,India,RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
49,49,07-07-2020 21:02,"Hyderabad Telangana, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
50,50,07-07-2020 21:02, India,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
51,51,07-07-2020 21:00,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
53,53,07-07-2020 20:56,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
55,55,07-07-2020 20:52,"Hyderabad, India","RT @bamitav: #Pandemic #Scammers Robbed #US Consumers Of More Than $77M https://t.co/nN8RoJ3GWP 

#COVID #coronavirus #virus #InfoSec #Secu…"
56,56,07-07-2020 20:48,United States / India,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
57,57,07-07-2020 20:46,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
58,58,07-07-2020 20:43,"Delhi, India","RT @Teensthack: #Covid: am hearing there is a press briefing tom at 4, almost after a month. *Will the @ICMRDELHI talk abt the 15 Aug deadl…"
59,59,07-07-2020 20:43,"Galwan Valley, India",RT @yates_rob: Will #COVID-19 catalyse #UHC reforms in Indian States? https://t.co/BFMfbvlYEo
60,60,07-07-2020 20:42,"Bangalore, India",RT @ranjalrajesh: @deepolice12 @rajeev_mp Please issue advisory to TV channels not to scare people with all that rubbish they are broadcast…
61,61,07-07-2020 20:40,"New Delhi, India","RT @RailMinIndia: Innovative minds in Indian Railways showcase their creative skills to combat #CoVID

An ideal device to ensure #socialdis…"
62,62,07-07-2020 20:40,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
63,63,07-07-2020 20:39,India,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
64,64,07-07-2020 20:37,"Chennai, India",RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
65,65,07-07-2020 20:33,India...,"RT @BDUTT: Meet the Jaipur-born Indian, now a UK Resident who has volunteered to be part of the much-talked about Oxford Vaccine Trial for…"
66,66,07-07-2020 20:31,"Tamil Nadu, India","RT @Vijayabaskarofl: Wearing mask, washing hands, and social distancing is the best way to prevent #COVID. Let’s help each other in curtail…"
67,67,07-07-2020 20:31,India,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
69,69,07-07-2020 20:27,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
70,70,07-07-2020 20:26,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
71,71,07-07-2020 20:26,"Ahmedabad, India",RT @Cleavon_MD: I’m an ER Doctor. I’m not sending my kids to school in #Arizona during a fucking pandemic. I’m okay risking my life to trea…
72,72,07-07-2020 20:26,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
73,73,07-07-2020 20:25,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
74,74,07-07-2020 20:24,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
75,75,07-07-2020 20:23,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
76,76,07-07-2020 20:22,"Bengaluru South, India","RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
77,77,07-07-2020 20:21,"Bengaluru, India",Now access great #content for #grades 1 to 8 sitting at your homes during this #lockdown #COVID #pandemic. Access… https://t.co/gAPeLYfwf6
78,78,07-07-2020 20:20,"Silchar, India",RT @keypadguerilla: Look at how frontline #COVID warriors Asha workers r taking risks to reach to families affected by virus. Asha workers…
79,79,07-07-2020 20:19,"Vijayawada, India",RT @xpressandhra: #COVIDUpdates: #Vizag recorded yet another day of highest spike in positive cases on a single day on Wednesday. As many a…
80,80,07-07-2020 20:18,"pune,India",RT @JaapUrsem: The positive #coronavirus testrate today for #Maharashtra province (#Mumbai. #Pune in #India) was 22%. Higher numbers and gu…
81,81,07-07-2020 20:18,"Hyderabad, India","RT @sagarikaghose: India might see 2.87 lakh #Covid cases per day by February 2021, @MIT study reveals https://t.co/Sa1kx78yGQ"
82,82,07-07-2020 20:17,India,RT @BiIIDutton: Time to develop an ambitious #research #agenda on the impact of #COVID-19 on #HigherEducation: https://t.co/Gb548eWoGj
83,83,07-07-2020 20:15,"Bangalore, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
84,84,07-07-2020 20:15,"Bengaluru, India",RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
85,85,07-07-2020 20:15,"Karnataka, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
86,86,07-07-2020 20:12,"Udupi, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
87,87,07-07-2020 20:12,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
88,88,07-07-2020 20:10,"Bengaluru, India",RT @keypadguerilla: Look at how frontline #COVID warriors Asha workers r taking risks to reach to families affected by virus. Asha workers…
89,89,07-07-2020 20:10,India,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
90,90,07-07-2020 20:10,"Guwahati, India","#COVID-19 stats of North-East India.

Source: https://t.co/8wwX74SODB

#Assam #Sikkim #Tripura #Manipur #Mizoram… https://t.co/U5ADkNsQTS"
91,91,07-07-2020 20:09,"Gopalganj, India",RT @samirsaran: Director @FBI explains what #China is doing to the #US- which is clearly under attack 👇🏽#FBI #COVID #IPR https://t.co/cMwWj…
92,92,07-07-2020 20:09,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
94,94,07-07-2020 20:07,"Bengaluru South, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
95,95,07-07-2020 20:07,"Bengaluru South, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
96,96,07-07-2020 20:07,"Bengaluru, India.","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
97,97,07-07-2020 20:02,"Mumbai Bangalore Raipur, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
98,98,07-07-2020 20:01,"Mysore, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
99,99,07-07-2020 20:00,"Madurai South, India","RT @drashwathcn: Kudos to Team #Dhaksha, mentored by filmstar #AjithKumar, for developing a way to sanitize large areas against COVID-19 vi…"
100,100,07-07-2020 19:59,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
102,102,07-07-2020 19:58,"Hubli, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
103,103,07-07-2020 19:58,India,"RT @madhavmantri: Bad News:- Mahila Congress National President @sushmitadevinc Tests #CoVid Positive ....
#GetWellSoon"
104,104,07-07-2020 19:58,"Chennai, India","RT @nkquality: Almost 80-90% People are seen with masks ,  that too properly covering nose and mouth. Heartening to see this uptrend in mas…"
105,105,07-07-2020 19:57,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
106,106,07-07-2020 19:57,"Vijayawada, India","Planning Abroad || Part 02 || Covid-19 impact - Abroad Study Plan 
#student #education #WaVe #covid #coronaeffect… https://t.co/m1fzbptb8h"
108,107,07-07-2020 19:55,"Chennai, India","RT @BDUTT: Meet the Jaipur-born Indian, now a UK Resident who has volunteered to be part of the much-talked about Oxford Vaccine Trial for…"
110,110,07-07-2020 19:50,"Karnataka, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
111,111,07-07-2020 19:50,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
112,112,07-07-2020 19:48,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
113,113,07-07-2020 19:47,Proud South Indian 💪,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
114,114,07-07-2020 19:47,"Ghaziabad, India",RT @V_Randhawa_: @IjoydeepRoy @MamataOfficial @abhishekaitc @bidhyarthi2007 @Bharatwashi1 @GhatakSumona @subrotabose @sanjitroy1984 @yooelr…
115,115,07-07-2020 19:46,India,RT @Vijayabaskarofl: Despite the #lockdown challenges the tremendous support by the #PWD Department for infrastructure expansion like layin…
116,116,07-07-2020 19:46,"Anantapur, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
117,117,07-07-2020 19:46,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
118,118,07-07-2020 19:45,"Bengaluru South, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
119,119,07-07-2020 19:44,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
120,120,07-07-2020 19:44,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
121,121,07-07-2020 19:42,"Pune, India",RT @JaapUrsem: The positive #coronavirus testrate today for #Maharashtra province (#Mumbai. #Pune in #India) was 22%. Higher numbers and gu…
122,122,07-07-2020 19:42,"New Delhi, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
123,123,07-07-2020 19:41,"Pune, Maharashtra, India",RT @JaapUrsem: The positive #coronavirus testrate today for #Maharashtra province (#Mumbai. #Pune in #India) was 22%. Higher numbers and gu…
124,124,07-07-2020 19:41,"Hyderabad, India","RT @CoreenaSuares2: 1340 beds for #COVID patients are available. 

Gandhi hospital- 1058
King Koti- 238
Chest Hospital- 25 
Fever Hospital-…"
125,125,07-07-2020 19:41,"Bengaluru, India.","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
126,126,07-07-2020 19:40,"Bhavnagar, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
127,127,07-07-2020 19:40,"Mumbai, India",RT @Cleavon_MD: I’m an ER Doctor. I’m not sending my kids to school in #Arizona during a fucking pandemic. I’m okay risking my life to trea…
128,128,07-07-2020 19:40,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
129,129,07-07-2020 19:39,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
130,130,07-07-2020 19:39,India,"RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
131,131,07-07-2020 19:39,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
132,132,07-07-2020 19:39,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
133,133,07-07-2020 19:38,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
134,134,07-07-2020 19:38,"Vijayawada, India","RT @xpressandhra: #APFightsCorona #APSRTC: Three Andhra road transport corporation staff have died of #COVID-19, 77 others infected https:/…"
135,135,07-07-2020 19:37,"Anantapur, India",RT @Tejaswini7: How come #Telangana Govt has money to demolish existing #Secretariat &amp; build a new one when it claims that it lost money du…
136,136,07-07-2020 19:37,"Bengaluru South, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
137,137,07-07-2020 19:35,India,RT @V_Randhawa_: @IjoydeepRoy @MamataOfficial @abhishekaitc @bidhyarthi2007 @Bharatwashi1 @GhatakSumona @subrotabose @sanjitroy1984 @yooelr…
138,138,07-07-2020 19:35,"New Delhi, India","Founded by an anti-imperialist, @Cipla_Global has a long history of bringing to the market low-priced generic… https://t.co/gQ2aldFIZI"
139,139,07-07-2020 19:35,"Mumbai, India",RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
140,140,07-07-2020 19:34,"Uttar Pradesh, India","RT @pcsarangi: On being informed that MLA Nilagiri has been tested positive for #COVID-19 .
I self quarantined myself at my official reside…"
141,141,07-07-2020 19:34,"Chennai, India",Get Health Insurance for family and individual. #insurance#healthinsurance #business #covid #finance #care#life… https://t.co/4WytNkdscK
142,142,07-07-2020 19:32,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
143,143,07-07-2020 19:32,"Noida, India","RT @007AliSohrab: Makkah Masjid in Mumbai has been turned into an oxygen center as city struggles to keep #COVID surge under control.
 http…"
144,144,07-07-2020 19:32,India ,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
145,145,07-07-2020 19:29,"Uttar Pradesh, India",RT @V_Randhawa_: @IjoydeepRoy @MamataOfficial @abhishekaitc @bidhyarthi2007 @Bharatwashi1 @GhatakSumona @subrotabose @sanjitroy1984 @yooelr…
146,146,07-07-2020 19:28,"Lucknow, India","RT @LkoSmartCity: #IndiaWillWin
New Normal Etiquettes to Combat #Covid-19
DO’S

Get your symptoms diagnosed by Calling on +91-522-3515700 &amp;…"
147,147,07-07-2020 19:28,"Lucknow, India","RT @LkoSmartCity: #Covid-19
New Normal Etiquettes to Combat COVID-19.
DON’TS

#StayAlert #StaySafe 
#LucknowFightsCorona 

Get your symptom…"
149,149,07-07-2020 19:28,"Lucknow, India","RT @LkoSmartCity: #IndiaWillWin
Parenting Tips During #Covid-19
#LucknowFightsCorona 
#StayAlert #StaySafe

Get your symptoms diagnosed by…"
150,150,07-07-2020 19:28,"Lucknow, India","RT @LkoSmartCity: #Covid-19 #MaskAMust
Get your Symptoms Diagnosed by Calling on +91-522-3515700
#LucknowFightsCorona 

Get your symptoms d…"
151,151,07-07-2020 19:27,"Lucknow, India","RT @LkoSmartCity: #IndiaWillWin
Don’t Stigmatise #Covid-19 Survivors

#StayAlert #StaySafe
#LucknowFightsCorona 

Get your symptoms diagnos…"
152,152,07-07-2020 19:27,"Lucknow, India","RT @LkoSmartCity: #CoronaWarriors

Meet Dhawan Brothers who are designing sustainable #COVID-19 cardboard beds at a lower cost &amp; the beds a…"
153,153,07-07-2020 19:27,"New Delhi, India",RT @MHaneefAtmar: An excellent discussion today with H.E @HishammuddinH2O Foreign Minister of #Malaysia on a wide range of issues of mutual…
154,154,07-07-2020 19:27,"Mumbai, India",RT @Prajafoundation: Praja is hosting a #webinar on “Leveraging Technology in #Education during the #COVID- 19 Pandemic” on 16th July 2020…
155,155,07-07-2020 19:27,"Lucknow, India","RT @LkoSmartCity: #Covid-19 #Unlock2.0
National Directives for Workplaces.
#StayAlert #StayHealthy
#LucknowFightsCorona

Get your symptoms…"
156,156,07-07-2020 19:27,"Lucknow, India","RT @LkoSmartCity: #IndiaWillWin
Ensuring Mental Health of Children During #Covid-19

#LucknowFightsCorona 

Get your symptoms diagnosed by…"
157,157,07-07-2020 19:25,"Lucknow, India","RT @LkoSmartCity: #Covid-19 #IndiaFightsCorona 
Operating Guidelines for Exhaust Fans.
#StayAlert #StaySafe #StayHealthy
#LucknowFightsCoro…"
158,158,07-07-2020 19:25,"Lucknow, India","RT @LkoSmartCity: #Covid-19 #IndiaFightsCorona 
Operating Guidelines for Ceiling Fans.
#StayAlert #StaySafe #StayHealthy
#LucknowFightsCoro…"
159,159,07-07-2020 19:24,"Varanasi, India",RT @Cleavon_MD: I’m an ER Doctor. I’m not sending my kids to school in #Arizona during a fucking pandemic. I’m okay risking my life to trea…
160,160,07-07-2020 19:22,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
161,161,07-07-2020 19:21,"Kerala, India","RT @mfwaikerala: 272 New #COVID Cases &amp; 111 Recoveries Today in Kerala.

#COVID #Kerala #COVIDー19 https://t.co/L9PhVgUtiB"
162,162,07-07-2020 19:20,"Tamil Nadu, India","RT @BrilliantBhara3: #Madurai  #restaurant makes ‘#MaskParottas’ to create #awareness about #COVID-19

#readmore @ https://t.co/WIPLVsyuQa…"
163,163,07-07-2020 19:20,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
164,164,07-07-2020 19:20,"India- Sullia,Bengaluru,Delhi","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
165,165,07-07-2020 19:19,"Mumbai, India","RT @raqib_naik: Makkah Masjid in Mumbai has been turned into an oxygen center as city struggles to keep #COVID surge under control.

⁦@ghos…"
166,166,07-07-2020 19:17,"New Delhi, India",RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
167,167,07-07-2020 19:15,"Hyderabad, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
168,168,07-07-2020 19:14,India,"RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
169,169,07-07-2020 19:14,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
170,170,07-07-2020 19:12,"Mumbai, India",RT @meeracomposes: Worrying news that #AkhilGogoi in prison since 200 days has shown #Covid symptoms and is not being given proper health c…
171,171,07-07-2020 19:11,"Jharkhand, India","#IndigenousLivesMatter 
Some #Adivasi friends here might remember that this evil megalomaniac was invited as guest… https://t.co/ACiOlB0AAl"
172,172,07-07-2020 19:11,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
173,173,07-07-2020 19:11,"Madhya Pradesh, India","RT @ImAbhishek7_: 25.5K cases in a day already at the beginning of July. 
It won't be a surprise if it's 2.87 lakh per day in February. 
In…"
174,174,07-07-2020 19:10,"Thanjavur, India",RT @TRBRajaa: Wishing Thiru @PThangamanioffl a speedy recovery from the grips of #Covid !!! #getwellsoon
175,175,07-07-2020 19:09,India,RT @BigDataAITO: Artificial intelligence produces data synthetically to help treat diseases like #COVID-19 via @TechXplore_com https://t.co…
176,176,07-07-2020 19:07,"Udupi, India","RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
